This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
1,0,1,n,8071.31713,0,1008664.916
0,1,1,H,7288.97061,0,1007825.032
1,1,2,H,13135.72176,1112.283,2014101.778
2,1,3,H,14949.80993,2827.265,3016049.282
1,2,3,He,14931.21793,2572.68,3016029.323
3,1,4,H,24621.127,1720.449,4026431.868
2,2,4,He,2424.91561,7073.915,4002603.254
1,3,4,Li,25323.189,1153.76,4027185.562
4,1,5,H,32892.444,1336.359,5035311.493
3,2,5,He,11231.233,5512.132,5012057.224
2,3,5,Li,11678.886,5266.132,5012537.8
5,1,6,H,41875.721,961.639,6044955.437
4,2,6,He,17592.095,4878.519,6018885.891
3,3,6,Li,14086.87895,5332.331,6015122.887
2,4,6,Be,18375.033,4487.247,6019726.409
5,2,7,He,26073.126,4123.057,7027990.654
4,3,7,Li,14907.10529,5606.439,7016003.437
3,4,7,Be,15768.999,5371.548,7016928.717
2,5,7,B,27676.55,3558.705,7029712
6,2,8,He,31609.681,3924.52,8033934.39
5,3,8,Li,20945.804,5159.712,8022486.246
4,4,8,Be,4941.671,7062.435,8005305.102
3,5,8,B,22921.567,4717.155,8024607.316
2,6,8,C,35064.268,3101.524,8037643.042
7,2,9,He,40935.826,3349.037,9043946.419
6,3,9,Li,24954.902,5037.768,9026790.191
5,4,9,Be,11348.453,6462.668,9012183.066
4,5,9,B,12416.488,6257.07,9013329.649
3,6,9,C,28910.972,4337.423,9031037.207
8,2,10,He,49197.143,2995.134,10052815.31
7,3,10,Li,33052.624,4531.351,10035483.45
6,4,10,Be,12607.488,6497.63,10013534.7
5,5,10,B,12050.609,6475.083,10012936.86
4,6,10,C,15698.672,6032.042,10016853.22
3,7,10,N,38800.026,3643.672,10041653.54
8,3,11,Li,40728.254,4155.381,11043723.58
7,4,11,Be,20177.167,5952.54,11021661.08
6,5,11,B,8667.707,6927.732,11009305.17
5,6,11,C,10649.396,6676.456,11011432.6
4,7,11,N,24303.559,5364.046,11026090.95
9,3,12,Li,49009.571,3791.6,12052613.94
8,4,12,Be,25077.76,5720.722,12026922.08
7,5,12,B,13369.397,6631.223,12014352.64
6,6,12,C,0,7680.144,12000000
5,7,12,N,17338.068,6170.109,12018613.18
4,8,12,O,31914.613,4890.202,12034261.75
10,3,13,Li,56980.888,3507.63,13061171.5
9,4,13,Be,33659.077,5241.435,13036134.51
8,5,13,B,16561.947,6496.419,13017779.98
7,6,13,C,3125.00888,7469.849,13003354.84
6,7,13,N,5345.481,7238.863,13005738.61
5,8,13,O,23115.432,5811.763,13024815.44
10,4,14,Be,39954.498,4993.897,14042892.92
9,5,14,B,23663.685,6101.644,14025404.01
8,6,14,C,3019.89278,7520.319,14003241.99
7,7,14,N,2863.41672,7475.614,14003074
6,8,14,O,8007.781,7052.278,14008596.71
5,9,14,F,31964.402,5285.208,14034315.2
11,4,15,Be,49825.815,4540.97,15053490.22
10,5,15,B,28958.242,5879.985,15031087.95
9,6,15,C,9873.144,7100.169,15010599.26
8,7,15,N,101.43871,7699.46,15000108.9
7,8,15,O,2855.605,7463.692,15003065.62
6,9,15,F,16566.751,6497.459,15017785.14
5,10,15,Ne,40215.373,4868.728,15043172.98
12,4,16,Be,57447.132,4285.285,16061672.04
11,5,16,B,37112.51,5507.302,16039841.92
10,6,16,C,13694.132,6922.054,16014701.26
9,7,16,N,5683.907,7373.796,16006101.93
8,8,16,O,-4737.00135,7976.206,15994914.62
7,9,16,F,10680.253,6963.731,16011465.72
6,10,16,Ne,23986.776,6083.177,16025750.86
12,5,17,B,43716.317,5269.667,17046931.4
11,6,17,C,21031.898,6558.024,17022578.67
10,7,17,N,7870.079,7286.229,17008448.88
9,8,17,O,-808.76348,7750.728,16999131.76
8,9,17,F,1951.702,7542.328,17002095.24
7,10,17,Ne,16500.447,6640.499,17017713.96
6,11,17,Na,35173.214,5496.08,17037760
13,5,18,B,51792.634,4976.63,18055601.68
12,6,18,C,24919.264,6426.131,18026751.93
11,7,18,N,13113.168,7038.562,18014077.57
10,8,18,O,-782.8156,7767.097,17999159.61
9,9,18,F,873.113,7631.638,18000937.33
8,10,18,Ne,5317.614,7341.257,18005708.69
7,11,18,Na,25037.988,6202.217,18026879.39
14,5,19,B,59770.244,4719.634,19064166
13,6,19,C,32413.752,6118.273,19034797.6
12,7,19,N,15856.282,6948.543,19017022.42
11,8,19,O,3332.858,7566.495,19003577.97
10,9,19,F,-1487.4442,7779.018,18998403.16
9,10,19,Ne,1752.05,7567.343,19001880.9
8,11,19,Na,12929.39,6937.885,19013880.27
7,12,19,Mg,31828.389,5902.025,19034169.18
14,6,20,C,37503.563,5961.435,20040261.73
13,7,20,N,21766.496,6709.171,20023367.3
12,8,20,O,3796.172,7568.57,20004075.36
11,9,20,F,-17.463,7720.134,19999981.25
10,10,20,Ne,-7041.93055,8032.24,19992440.18
9,11,20,Na,6850.604,7298.496,20007354.43
8,12,20,Mg,17477.692,6728.025,20018763.08
14,7,21,N,25231.913,6609.015,21027087.57
13,8,21,O,8062.035,7389.374,21008654.95
12,9,21,F,-47.605,7738.293,20999948.89
11,10,21,Ne,-5731.776,7971.713,20993846.69
10,11,21,Na,-2184.631,7765.547,20997654.7
9,12,21,Mg,10903.85,7105.031,21011705.76
16,6,22,C,53611.197,5421.077,22057553.99
15,7,22,N,31764.801,6378.534,22034100.92
14,8,22,O,9283.033,7364.871,22009965.75
13,9,22,F,2793.373,7624.295,22002998.81
12,10,22,Ne,-8024.719,8080.465,21991385.11
11,11,22,Na,-5181.511,7915.667,21994437.42
10,12,22,Mg,-399.933,7662.761,21999570.65
16,7,23,N,36720.425,6236.671,23039421
15,8,23,O,14621.369,7163.485,23015696.69
14,9,23,F,3285.263,7622.344,23003526.87
13,10,23,Ne,-5154.049,7955.256,22994466.9
12,11,23,Na,-9529.85248,8111.493,22989769.28
11,12,23,Mg,-5473.513,7901.115,22994123.94
10,13,23,Al,6748.07,7335.727,23007244.35
16,8,24,O,18500.402,7039.685,24019861
15,9,24,F,7544.515,7463.582,24008099.37
14,10,24,Ne,-5951.646,7993.325,23993610.65
13,11,24,Na,-8417.901,8063.488,23990963.01
12,12,24,Mg,-13933.569,8260.709,23985041.7
11,13,24,Al,-48.865,7649.582,23999947.54
10,14,24,Si,10745.195,7167.232,24011535.44
17,8,25,O,27329.027,6727.805,25029338.92
16,9,25,F,11334.166,7336.306,25012167.73
15,10,25,Ne,-2035.502,7839.799,24997814.8
14,11,25,Na,-9357.813,8101.397,24989953.97
13,12,25,Mg,-13192.783,8223.502,24985836.96
12,13,25,Al,-8915.975,8021.136,24990428.31
11,14,25,Si,3827.324,7480.11,25004108.8
18,8,26,O,34661.037,6497.478,26037210.16
17,9,26,F,18648.875,7083.24,26020020.39
16,10,26,Ne,481.114,7751.91,26000516.5
15,11,26,Na,-6860.78,8004.201,25992634.65
14,12,26,Mg,-16214.542,8333.87,25982592.97
13,13,26,Al,-12210.151,8149.765,25986891.86
12,14,26,Si,-7141.015,7924.708,25992333.8
18,9,27,F,25450.279,6867.932,27027322
17,10,27,Ne,7050.909,7520.414,27007569.46
16,11,27,Na,-5517.79,7956.946,26994076.41
15,12,27,Mg,-14586.611,8263.852,26984340.63
14,13,27,Al,-17196.861,8331.553,26981538.41
13,14,27,Si,-12384.503,8124.341,26986704.69
12,15,27,P,-722.458,7663.438,26999224.41
19,9,28,F,33741.596,6614.792,28036223.1
18,10,28,Ne,11299.737,7388.346,28012130.77
17,11,28,Na,-988.315,7799.264,27998939
16,12,28,Mg,-15018.845,8272.413,27983876.61
15,13,28,Al,-16850.645,8309.894,27981910.09
14,14,28,Si,-21492.7943,8447.744,27976926.53
13,15,28,P,-7147.74,7907.479,27992326.59
12,16,28,S,4073.206,7478.79,28004372.77
20,9,29,F,40150.186,6444.031,29043103
19,10,29,Ne,18399.801,7167.067,29019753
18,11,29,Na,2679.994,7682.151,29002877.09
17,12,29,Mg,-10602.829,8113.202,28988617.39
16,13,29,Al,-18207.76,8348.464,28980453.16
15,14,29,Si,-21895.07838,8448.635,28976494.67
14,15,29,P,-16952.848,8251.236,28981800.37
13,16,29,S,-3156.416,7748.52,28996611.45
12,17,29,Cl,13162.176,7158.832,29014130.18
20,10,30,Ne,23280.117,7034.531,30024992.24
19,11,30,Na,8474.67,7501.968,30009097.93
18,12,30,Mg,-8883.82,8054.506,29990462.83
17,13,30,Al,-15864.844,8261.128,29982968.39
16,14,30,Si,-24432.96,8520.654,29973770.14
15,15,30,P,-20200.854,8353.506,29978313.49
14,16,30,S,-14059.253,8122.707,29984906.77
12,18,30,Ar,20931.147,6904.204,30022470.51
21,10,31,Ne,31181.591,6813.09,31033474.82
20,11,31,Na,12246.031,7398.677,31013146.66
19,12,31,Mg,-3122.151,7869.188,30996648.23
18,13,31,Al,-14950.706,8225.517,30983949.76
17,14,31,Si,-22949.036,8458.291,30975363.19
16,15,31,P,-24440.54095,8481.167,30973762
15,16,31,S,-19042.525,8281.8,30979557.01
14,17,31,Cl,-7034.551,7869.209,30992448.1
21,11,32,Na,18640.151,7219.881,32020011.03
20,12,32,Mg,-828.9,7803.84,31999110.14
19,13,32,Al,-11099.367,8100.344,31988084.34
18,14,32,Si,-24077.686,8481.468,31974151.54
17,15,32,P,-24304.874,8464.12,31973907.64
16,16,32,S,-26015.53355,8493.129,31972071.17
15,17,32,Cl,-13334.674,8072.404,31985684.64
14,18,32,Ar,-2200.351,7700.008,31997637.83
22,11,33,Na,23780.11,7089.926,33025529
21,12,33,Mg,4962.297,7636.455,33005327.25
20,13,33,Al,-8497.38,8020.616,32990877.69
19,14,33,Si,-20514.325,8361.059,32977976.96
18,15,33,P,-26337.346,8513.806,32971725.69
17,16,33,S,-26585.85434,8497.63,32971458.91
16,17,33,Cl,-21003.337,8304.755,32977451.99
15,18,33,Ar,-9384.292,7928.955,32989925.55
23,11,34,Na,31680.111,6886.437,34034010
22,12,34,Mg,8323.348,7550.39,34008935.48
21,13,34,Al,-3000.289,7860.428,33996779.06
20,14,34,Si,-19956.852,8336.141,33978575.44
19,15,34,P,-24548.698,8448.185,33973645.89
18,16,34,S,-29931.685,8583.498,33967867.01
17,17,34,Cl,-24440.082,8398.97,33973762.49
16,18,34,Ar,-18378.29,8197.672,33980270.09
23,12,35,Mg,15639.784,7356.233,35016790
22,13,35,Al,-223.728,7787.124,34999759.82
21,14,35,Si,-14391.457,8169.563,34984550.13
20,15,35,P,-24857.799,8446.249,34973314.05
19,16,35,S,-28846.206,8537.85,34969032.32
18,17,35,Cl,-29013.528,8520.278,34968852.69
17,18,35,Ar,-23047.284,8327.461,34975257.72
16,19,35,K,-11172.891,7965.84,34988005.41
24,12,36,Mg,20380.157,7244.419,36021879
23,13,36,Al,5950.384,7623.515,36006388
22,14,36,Si,-12436.124,8112.519,35986649.27
21,15,36,P,-20251.034,8307.868,35978259.62
20,16,36,S,-30664.131,8575.389,35967080.7
19,17,36,Cl,-29522.005,8521.931,35968306.82
18,18,36,Ar,-30231.54,8519.909,35967545.11
17,19,36,K,-17417.065,8142.219,35981302.01
16,20,36,Ca,-6451.149,7815.879,35993074.41
25,12,37,Mg,28211.474,7055.111,37030286.27
24,13,37,Al,9809.563,7531.315,37010531
23,14,37,Si,-6571.511,7952.903,36992945.19
22,15,37,P,-18995.998,8267.555,36979606.96
21,16,37,S,-26896.417,8459.935,36971125.51
20,17,37,Cl,-31761.538,8570.281,36965902.58
19,18,37,Ar,-30947.664,8527.139,36966776.31
18,19,37,K,-24800.199,8339.847,36973375.89
17,20,37,Ca,-13136.066,8003.456,36985897.85
25,13,38,Al,16209.859,7377.097,38017402
24,14,38,Si,-4170.299,7892.829,37995523
23,15,38,P,-14621.563,8147.274,37984303.11
22,16,38,S,-26861.203,8448.782,37971163.31
21,17,38,Cl,-29798.103,8505.481,37968010.42
20,18,38,Ar,-34714.821,8614.28,37962732.1
19,19,38,K,-28800.755,8438.058,37969081.12
18,20,38,Ca,-22058.499,8240.043,37976319.23
25,14,39,Si,2320.352,7730.979,39002491
24,15,39,P,-12774.634,8097.969,38986285.87
23,16,39,S,-23162.667,8344.269,38975133.85
22,17,39,Cl,-29800.205,8494.402,38968008.16
21,18,39,Ar,-33242.19,8562.598,38964313.04
20,19,39,K,-33807.1901,8557.025,38963706.49
19,20,39,Ca,-27282.702,8369.67,38970710.81
18,21,39,Sc,-14172.709,8013.456,38984784.97
26,14,40,Si,5429.679,7661.754,40005829
25,15,40,P,-8114.37,7980.796,39991288.87
24,16,40,S,-22837.846,8329.325,39975482.56
23,17,40,Cl,-27557.813,8427.765,39970415.47
22,18,40,Ar,-35039.89464,8595.259,39962383.12
21,19,40,K,-33535.492,8538.09,39963998.17
20,20,40,Ca,-34846.384,8551.303,39962590.87
19,21,40,Sc,-20523.335,8173.669,39977967.29
18,22,40,Ti,-8850.384,7862.286,39990498.72
27,14,41,Si,12119.668,7508.573,41013011
26,15,41,P,-4979.767,7906.551,40994654
25,16,41,S,-19008.577,8229.635,40979593.45
24,17,41,Cl,-27307.189,8412.959,40970684.53
23,18,41,Ar,-33067.505,8534.372,40964500.57
22,19,41,K,-35559.54331,8576.072,40961825.26
21,20,41,Ca,-35137.89,8546.706,40962277.92
20,21,41,Sc,-28642.412,8369.198,40969251.1
19,22,41,Ti,-15697.537,8034.388,40983148
